b829f1032201f5b5,1583342542,98,1,245,1,114,128,0,0,128,65,0,0
b829f102210645,1583342542,97,6,255,0,197,220,255,186,255,101,254,7,0,4,17
b829f102210241,1583342542,97,2,251,103,246,131,251,192,7,100,0,0
b829f102210241,1583342543,97,2,251,103,246,131,251,192,7,100,0,0
b829f1032201f5b5,1583342543,98,1,245,1,114,128,0,0,128,209,0,0
b829f102210645,1583342543,97,6,255,0,197,220,255,186,255,101,254,70,0,0,17
b829f102210645,1583342544,97,6,255,0,197,220,255,186,255,101,254,70,255,252,17
b829f102210241,1583342544,97,2,251,103,246,131,251,192,7,100,0,0
b829f1032201f5b5,1583342544,98,1,245,1,114,128,0,0,128,97,0,0
b829f102210645,1583342545,97,6,255,0,198,220,255,186,255,101,254,7,0,4,17
b829f102210241,1583342545,97,2,251,103,246,131,251,192,7,100,0,0
b829f1032201f5b5,1583342545,98,1,245,1,114,128,0,0,128,1,0,0
b829f1032201f5b5,1583342546,98,1,245,1,114,128,0,0,128,209,0,0
b829f102210645,1583342546,97,6,20,0,197,220,255,165,255,101,254,70,0,8,17
b829f102210241,1583342546,97,2,251,103,246,131,251,192,7,100,0,0
b829f102210241,1583342547,97,2,251,103,246,131,251,192,7,100,0,0
b829f1032201f5b5,1583342547,98,1,245,1,98,128,6,0,128,97,0,0
b829f102210645,1583342547,97,6,255,0,198,220,255,186,255,101,254,70,255,252,17
b829f102210241,1583342548,97,2,251,103,246,131,251,192,7,100,0,0
b829f1032201f5b5,1583342548,98,1,245,1,241,1,133,3,128,241,152,4
b829f102210645,1583342548,97,6,255,0,197,220,255,186,255,101,254,70,0,8,17
b829f102210645,1583342549,97,6,255,0,197,220,255,186,255,101,254,70,0,4,17
b829f102210241,1583342549,97,2,251,103,246,131,251,192,7,100,0,0
b829f1032201f5b5,1583342549,98,1,245,1,111,6,0,0,128,145,0,0
b829f1032201f5b5,1583342550,98,1,245,1,129,7,176,4,128,97,0,0
b829f102210645,1583342550,97,6,255,0,197,220,255,186,255,101,254,7,0,8,17
b829f102210241,1583342550,97,2,251,103,246,131,251,192,7,100,0,0
b829f1032201f5b5,1583342551,98,1,245,1,204,11,0,0,128,1,0,0
b829f102210645,1583342551,97,6,255,0,197,220,255,186,255,80,254,70,0,0,17
b829f102210241,1583342551,97,2,251,103,246,131,251,192,7,100,0,0
b829f102210241,1583342552,97,2,251,103,246,131,251,192,7,100,0,0
b829f1032201f5b5,1583342552,98,1,245,1,239,14,0,0,128,161,0,0
b829f102210645,1583342552,97,6,20,0,198,220,255,165,255,101,254,70,0,4,17
b829f102210645,1583342553,97,6,255,0,197,220,255,186,255,101,254,7,0,8,17
b829f102210241,1583342553,97,2,251,103,246,131,251,192,7,100,0,0
b829f1032201f5b5,1583342553,98,1,245,1,160,15,192,7,128,33,0,0
b829f102210645,1583342554,97,6,255,0,197,220,255,165,255,101,254,70,0,12,17
b829f102210241,1583342554,97,2,251,103,246,131,251,192,7,100,0,0
b829f1032201f5b5,1583342554,98,1,245,1,223,17,7,133,128,193,0,0
b829f1032201f5b5,1583342555,98,1,245,1,1,16,221,129,128,129,0,0
b829f102210645,1583342555,97,6,255,0,197,220,255,186,255,101,254,70,0,8,17
b829f102210241,1583342555,97,2,251,103,246,131,251,192,7,100,0,0
b829f102210241,1583342556,97,2,251,103,246,131,251,192,7,100,0,0
b829f1032201f5b5,1583342556,98,1,245,1,47,15,0,0,128,33,0,0
b829f102210645,1583342556,97,6,255,0,198,220,255,186,255,101,254,70,0,12,17
b829f102210241,1583342557,97,2,251,103,246,131,251,192,7,100,0,0
b829f1032201f5b5,1583342557,98,1,245,1,239,14,198,128,128,193,0,0
b829f102210645,1583342557,97,6,255,0,197,220,255,186,255,101,254,70,255,252,17
b829f102210645,1583342558,97,6,255,0,197,220,255,186,255,101,254,70,0,12,17
b829f102210241,1583342558,97,2,251,103,246,131,251,192,7,100,0,0
b829f1032201f5b5,1583342558,98,1,245,1,223,14,0,0,128,81,0,0
b829f1032201f5b5,1583342559,98,1,245,1,206,14,0,0,128,33,0,0
b829f102210645,1583342559,97,6,255,0,197,220,255,186,255,101,254,70,255,252,17
b829f102210241,1583342559,97,2,251,103,246,131,251,192,7,100,0,0
b829f1032201f5b5,1583342560,98,1,245,1,202,14,0,0,128,177,0,0
b829f102210645,1583342560,97,6,255,0,197,220,255,165,255,101,254,70,255,252,17
b829f102210241,1583342560,97,2,251,103,246,131,251,192,7,100,0,0
b829f102210241,1583342561,97,2,251,103,246,131,251,192,7,100,0,0
b829f1032201f5b5,1583342561,98,1,245,1,190,14,0,0,128,65,0,0
b829f102210645,1583342561,97,6,255,0,198,220,255,186,255,101,254,70,0,12,17
b829f102210645,1583342562,97,6,255,0,197,220,255,186,255,101,254,70,0,4,17
b829f102210241,1583342562,97,2,251,103,246,131,251,192,7,100,0,0
b829f1032201f5b5,1583342562,98,1,245,1,186,14,0,0,128,225,0,0
b829f102210645,1583342563,97,6,255,0,198,220,255,186,255,101,254,70,0,0,17
b829f102210241,1583342563,97,2,251,103,246,131,251,192,7,100,0,0
b829f1032201f5b5,1583342563,98,1,245,1,174,14,0,0,128,113,38,164
b829f1032201f5b5,1583342564,98,1,245,1,174,14,0,0,128,65,0,0
b829f102210645,1583342564,97,6,255,0,197,220,255,186,255,101,254,7,0,0,17
b829f102210241,1583342564,97,2,251,103,246,131,251,192,7,100,0,0
b829f102210241,1583342565,97,2,251,103,246,131,251,192,7,100,0,0
b829f1032201f5b5,1583342565,98,1,245,1,174,14,0,0,128,225,0,0
b829f102210645,1583342565,97,6,255,0,198,220,255,186,255,101,254,7,0,8,17
b829f102210241,1583342566,97,2,251,103,246,131,251,192,7,100,0,0
b829f1032201f5b5,1583342566,98,1,245,1,170,14,0,0,128,97,0,0
b829f102210645,1583342566,97,6,255,0,198,220,255,144,255,101,254,7,255,252,17
b829f102210645,1583342567,97,6,255,0,198,220,255,165,255,101,254,70,255,252,17
b829f102210241,1583342567,97,2,251,103,246,131,251,192,7,100,0,0
b829f1032201f5b5,1583342567,98,1,245,1,158,14,0,0,128,1,0,0
b829f1032201f5b5,1583342568,98,1,245,1,158,14,0,0,128,225,0,0
b829f102210645,1583342568,97,6,255,0,197,220,255,186,255,101,254,70,0,12,17
b829f102210241,1583342568,97,2,251,103,246,131,251,192,7,100,0,0
b829f1032201f5b5,1583342569,98,1,245,1,158,14,0,0,128,113,37,163
b829f102210645,1583342569,97,6,255,0,197,220,255,186,255,101,254,70,255,252,17
b829f102210241,1583342569,97,2,251,102,246,131,251,192,7,100,0,0
