timestamp,pwgvoltagepoti1
1583855655,0.75
1583855656,0.75
1583855657,0.75
1583855658,0.83
1583855745,1.19
1583855749,0.91
1583855779,1.38
1583855780,1.28
1583855783,1.52
1583855818,2.11
1583855861,2.24
1583856200,2.84
1583856281,3.96
1583856283,3.96
