1529838242,160,0,27,0,0,0,9,30,144
1529838243,160,255,224,255,86,0,9,27,189
1529838244,160,255,72,255,172,0,9,31,134
1529838245,160,254,214,0,0,0,9,28,114
1529838246,160,254,116,0,0,0,9,30,81
1529838247,160,252,238,255,16,0,9,27,160
1529838248,160,252,11,254,36,0,9,30,113
1529838252,160,250,5,255,226,0,9,30,126
1529838269,160,239,110,255,220,0,9,30,118
1529838275,160,236,207,254,224,0,9,29,124
1529838289,160,224,115,0,0,0,9,28,29
1529838290,160,224,82,0,0,0,9,29,233
1529838291,160,224,66,0,0,0,9,29,83
1529838299,160,216,220,0,0,0,9,30,114
1529838300,160,216,204,0,0,0,9,27,147
1529838301,160,216,62,0,35,0,9,30,108
1529838302,160,215,125,255,1,0,9,27,145
1529838303,160,213,63,255,203,0,9,30,117
1529838304,160,211,53,254,104,0,9,30,111
1529838305,160,210,62,0,0,0,9,27,152
1529838306,160,210,94,254,7,0,9,30,172
1529838307,160,209,126,254,248,0,9,30,108
1529838308,160,209,110,0,0,0,9,27,165
1529838309,160,209,110,0,0,0,9,30,117
1529838310,160,209,110,0,0,0,9,30,116
1529838311,160,209,158,0,0,0,9,29,58
