timestamp,rpm
1583683418,866
1583683419,866
1583683420,859
1583683422,867
1583683423,867
1583683424,861
1583683425,861
1583683426,861
1583683427,1810
1583683428,1810
1583683429,2038
1583683430,2038
1583683431,2038
1583683432,2120
1583683433,2120
1583683434,2240
1583683435,2240
1583683436,2240
1583683437,1512
1583683438,1512
1583683439,906
1583683440,906
1583683441,906
1583683442,872
1583683443,872
1583683444,880
1583683445,880
1583683446,880
1583683447,883
