timestamp,speed (km/h)
1585241271,0
1585241272,0
1585241273,1
1585241274,6
1585241275,6
1585241276,6
1585241277,9
1585241280,11
1585241285,17
1585241286,17
1585241287,21
1585241288,21
1585241289,21
1585241291,22
1585241293,22
1585241294,23
1585241296,27
1585241302,36
1585241303,36
1585241304,39
1585241306,36
1585241308,36
1585241309,38
1585241310,38
1585241312,41
1585241326,48
1585241327,48
1585241328,55
1585241331,55
1585241332,55
