b829f102210645,1584036089,97,6,255,0,196,220,255,186,255,101,244,229,255,183,19
b829f102210241,1584036089,97,2,250,155,246,160,242,95,5,244,238,163
b829f1032201f5b5,1584036089,98,1,245,1,224,135,90,138,128,49,0,0
b829f1032201f5b5,1584036090,98,1,245,1,124,138,163,135,128,241,153,4
b829f102210645,1584036090,97,6,255,0,196,220,255,165,255,101,237,252,255,175,18
b829f102210241,1584036090,97,2,250,154,246,159,242,95,5,244,238,179
b829f1032201f5b5,1584036091,98,1,245,1,67,139,133,3,128,129,124,129
b829f102210645,1584036091,97,6,255,0,196,220,255,186,255,101,239,56,255,224,18
b829f102210241,1584036091,97,2,250,153,246,158,242,95,5,244,238,190
b829f102210241,1584036092,97,2,250,153,246,158,242,95,5,244,238,184
b829f1032201f5b5,1584036092,98,1,245,1,58,133,13,7,128,1,233,128
b829f102210645,1584036092,97,6,255,0,195,220,255,186,255,101,249,23,0,16,19
b829f102210645,1584036093,97,6,255,0,195,220,255,165,255,101,8,163,0,138,19
b829f102210241,1584036093,97,2,250,152,246,156,242,95,5,244,238,168
b829f1032201f5b5,1584036093,98,1,245,1,154,12,96,11,128,129,25,2
b829f102210645,1584036094,97,6,255,0,195,220,255,186,255,101,31,215,1,57,18
b829f102210241,1584036094,97,2,250,152,246,155,242,95,5,244,238,170
b829f1032201f5b5,1584036094,98,1,245,1,188,19,0,0,128,1,4,5
b829f1032201f5b5,1584036095,98,1,245,1,62,19,0,0,128,193,214,5
b829f102210645,1584036095,97,6,255,0,195,220,255,165,255,101,39,126,1,98,19
b829f102210241,1584036095,97,2,250,150,246,154,242,95,5,244,238,170
b829f102210241,1584036096,97,2,250,150,246,154,242,95,5,244,238,170
b829f1032201f5b5,1584036096,98,1,245,1,4,22,100,5,128,81,209,10
b829f102210645,1584036096,97,6,255,0,195,220,255,165,255,101,46,229,1,126,19
b829f102210241,1584036097,97,2,250,149,246,153,242,95,5,244,238,170
b829f1032201f5b5,1584036097,98,1,245,1,42,20,240,6,128,209,39,10
b829f102210645,1584036097,97,6,255,0,196,220,255,165,255,101,45,232,1,187,19
b829f102210645,1584036098,97,6,255,0,195,220,255,165,255,101,45,232,1,134,19
b829f102210241,1584036098,97,2,250,147,246,151,242,95,5,244,238,170
b829f1032201f5b5,1584036098,98,1,245,1,41,22,104,0,128,81,113,11
b829f1032201f5b5,1584036099,98,1,245,1,141,23,224,6,128,17,170,11
b829f102210645,1584036099,97,6,255,0,195,220,255,165,255,101,51,213,1,195,19
b829f102210241,1584036099,97,2,250,146,246,150,242,95,5,244,238,170
b829f1032201f5b5,1584036100,98,1,245,1,113,21,0,0,128,145,160,11
b829f102210645,1584036100,97,6,255,0,195,220,255,186,255,101,48,33,1,163,19
b829f102210241,1584036100,97,2,250,145,246,149,242,95,5,244,238,170
b829f102210241,1584036101,97,2,250,145,246,149,242,95,5,244,238,170
b829f1032201f5b5,1584036101,98,1,245,1,178,21,199,1,128,33,185,8
b829f102210645,1584036101,97,6,255,0,196,220,255,165,255,101,50,90,2,13,19
b829f102210645,1584036102,97,6,255,0,195,220,255,186,255,101,52,210,2,9,19
b829f102210241,1584036102,97,2,250,143,246,147,242,95,5,244,238,170
b829f1032201f5b5,1584036102,98,1,245,1,164,23,105,0,128,161,196,9
